user_login,cluster,umap_x,umap_y
facethebug,1,-5.6321406,-7.750355
fatroosterfarm,1,-4.565547,-8.303969
fauna_cmc,10,-2.4289591,-5.669704
favarin,5,-4.3173614,-1.5431383
fbiomoreiradacosta,9,-7.746821,-4.5329795
fe_ricci,5,-4.9868565,-2.5199385
federico177,7,-5.2881794,-10.22833
feelps,0,-7.995203,-7.7955804
fefisampaio,1,-5.2048335,-7.2732725
fegavronski,7,-5.13524,-10.069298
fegulin,3,-12.443451,-2.5435607
fehcasa,4,-5.483949,-5.0527973
felicio_ju,3,-13.027596,-2.1118371
felipe15,7,-5.838288,-10.7656765
felipe63170,1,-3.5803397,-5.997438
felipe63451,10,-1.7148288,-5.263404
felipe658,10,-1.5063747,-4.881725
felipe82423,4,-6.758919,-5.7021565
felipe_balbino_santos,3,-12.166087,-2.668506
felipe_barros1,8,-2.973381,-8.634032
felipe_david99,8,-2.8473155,-8.676917
felipe_matheus_souza_lameu,9,-7.7637815,-4.605388
felipe_s1344,2,-2.1718698,-3.5110524
felipe_t_s,5,-5.000531,-2.4400277
felipeachter,9,-7.568175,-4.64789
felipealtarugio,1,-5.095731,-7.3850627
felipebiihrer,10,-1.3391626,-6.918788
felipecarvalho,6,0.23592809,-4.7935696
felipefel,0,-7.9683056,-7.9378595
felipegiani,12,-7.0793877,-3.5212975
felipelasa,0,-7.8919644,-7.815529
felipelima93,9,-8.580394,-4.4970155
felipemfantacini,4,-5.363306,-4.6103663
felipeolimorais,7,-6.1667924,-10.370844
feliperibes,11,-2.808841,-1.5470743
felittejulia,5,-4.7767553,-4.183516
fer_tupini,10,-1.3348324,-5.316586
ferdjango,13,-6.208276,-1.132393
